gap,value
481.0,1663
482.0,1659
483.0,1638
484.0,1631
485.0,1617
486.0,1611
487.0,1605
488.0,1598
489.0,1575
490.0,1569
491.0,1560
492.0,1552
493.0,1570
494.0,1553
495.0,1543
496.0,1540
497.0,1537
498.0,1532
499.0,1531
500.0,1526
501.0,1531
502.0,1524
503.0,1518
504.0,1514
505.0,1506
506.0,1489
507.0,1481
508.0,1478
509.0,1484
510.0,1481
511.0,1479
512.0,1477
513.0,1465
514.0,1484
515.0,1482
516.0,1464
517.0,1400
518.0,1397
519.0,1375
520.0,1356
521.0,1355
522.0,1344
523.0,1308
524.0,1306
525.0,1291
526.0,1274
527.0,1271
528.0,1266
529.0,1257
530.0,1256
531.0,1251
532.0,1248
533.0,1242
534.0,1226
535.0,1217
536.0,1200
537.0,1198
538.0,1166
539.0,1162
540.0,1161
541.0,1160
542.0,1151
543.0,1145
544.0,1143
545.0,1131
546.0,1125
547.0,1122
548.0,1112
549.0,1089
550.0,1074
551.0,1050
552.0,1038
553.0,1019
554.0,1019
555.0,1016
556.0,1007
557.0,994
558.0,969
559.0,935
560.0,931
561.0,924
562.0,911
563.0,902
564.0,895
565.0,929
566.0,909
567.0,908
568.0,907
569.0,899
570.0,866
571.0,862
572.0,857
573.0,854
574.0,827
575.0,805
576.0,794
577.0,780
578.0,777
579.0,774
580.0,726
581.0,712
582.0,670
583.0,668
584.0,651
585.0,645
586.0,638
587.0,631
588.0,625
589.0,622
590.0,609
591.0,603
592.0,589
593.0,579
594.0,549
595.0,548
596.0,547
597.0,543
598.0,527
599.0,525
600.0,522
601.0,517
602.0,508
603.0,500
604.0,494
605.0,468
606.0,456
607.0,441
608.0,408
609.0,367
610.0,362
611.0,348
612.0,348
613.0,346
614.0,343
615.0,332
616.0,330
617.0,298
618.0,288
619.0,260
620.0,257
621.0,244
622.0,243
623.0,238
624.0,240
625.0,229
626.0,226
627.0,205
628.0,206
629.0,205
630.0,202
631.0,197
632.0,196
633.0,188
634.0,186
635.0,178
636.0,176
637.0,175
638.0,173
639.0,170
640.0,164
641.0,155
642.0,149
643.0,149
644.0,148
645.0,145
646.0,134
647.0,134
648.0,133
649.0,132
650.0,131
651.0,130
652.0,130
653.0,127
654.0,118
655.0,117
656.0,111
657.0,104
658.0,103
659.0,103
660.0,102
661.0,102
662.0,102
663.0,102
664.0,102
665.0,101
666.0,101
667.0,101
668.0,100
669.0,98
670.0,97
671.0,96
672.0,96
673.0,96
674.0,96
675.0,96
676.0,96
677.0,95
678.0,95
679.0,95
680.0,95
681.0,95
682.0,95
683.0,95
684.0,94
685.0,94
686.0,94
687.0,94
688.0,94
689.0,94
690.0,94
691.0,94
692.0,93
693.0,93
694.0,92
695.0,91
696.0,91
697.0,90
698.0,90
699.0,90
700.0,89
701.0,88
702.0,88
703.0,88
704.0,88
705.0,87
706.0,87
707.0,86
708.0,86
709.0,86
710.0,86
711.0,86
712.0,85
713.0,85
714.0,85
715.0,85
716.0,85
717.0,84
718.0,84
719.0,84
720.0,84
721.0,84
722.0,84
723.0,84
724.0,84
725.0,84
726.0,84
727.0,84
728.0,84
729.0,84
730.0,84
731.0,84
732.0,84
733.0,84
734.0,84
735.0,84
736.0,84
737.0,84
738.0,84
739.0,84
740.0,84
741.0,84
742.0,84
743.0,84
744.0,85
745.0,85
746.0,85
747.0,85
748.0,85
749.0,84
750.0,84
751.0,84
752.0,84
753.0,84
754.0,84
755.0,84
756.0,84
757.0,84
758.0,84
759.0,84
760.0,83
761.0,82
762.0,83
763.0,83
764.0,83
765.0,84
766.0,84
767.0,84
768.0,84
769.0,84
770.0,85
771.0,85
772.0,57
773.0,58
774.0,58
775.0,58
776.0,58
777.0,60
778.0,62
779.0,62
780.0,63
781.0,63
782.0,70
783.0,70
784.0,72
785.0,72
786.0,71
787.0,75
788.0,75
789.0,75
790.0,75
791.0,75
792.0,75
793.0,85
794.0,85
795.0,86
796.0,83
797.0,85
798.0,85
799.0,86
800.0,86
801.0,144
802.0,147
803.0,156
804.0,156
805.0,154
806.0,153
807.0,155
808.0,158
809.0,192
810.0,193
811.0,212
812.0,229
813.0,232
814.0,233
815.0,235
816.0,237
817.0,239
818.0,239
819.0,240
820.0,240
821.0,243
822.0,243
823.0,244
824.0,244
825.0,244
826.0,246
827.0,247
828.0,247
829.0,248
830.0,279
831.0,279
832.0,279
833.0,279
834.0,281
835.0,282
836.0,318
837.0,320
838.0,321
839.0,320
840.0,320
841.0,322
842.0,322
843.0,322
844.0,325
845.0,361
846.0,363
847.0,363
848.0,363
849.0,368
850.0,476
851.0,509
852.0,510
853.0,510
854.0,513
855.0,542
856.0,577
857.0,578
858.0,572
859.0,577
860.0,577
861.0,578
862.0,581
863.0,621
864.0,621
865.0,673
866.0,675
867.0,677
868.0,677
869.0,678
870.0,716
871.0,716
872.0,715
873.0,721
874.0,722
875.0,722
876.0,742
877.0,749
878.0,750
879.0,752
880.0,754
881.0,786
882.0,787
883.0,793
884.0,798
885.0,798
886.0,799
887.0,827
888.0,828
889.0,870
890.0,874
891.0,875
892.0,875
893.0,880
894.0,906
895.0,908
896.0,913
897.0,915
898.0,921
899.0,956
900.0,967
901.0,930
902.0,932
903.0,937
904.0,954
905.0,955
906.0,959
907.0,964
908.0,964
909.0,925
910.0,926
911.0,926
912.0,926
913.0,957
914.0,957
915.0,959
916.0,960
917.0,964
918.0,965
919.0,963
920.0,963
921.0,970
922.0,1008
923.0,1009
924.0,1035
925.0,1035
926.0,1038
927.0,1070
928.0,1132
929.0,1133
930.0,1135
931.0,1136
932.0,1138
933.0,1163
934.0,1165
935.0,1211
936.0,1238
937.0,1245
938.0,1256
939.0,1259
940.0,1274
941.0,1277
942.0,1277
943.0,1280
944.0,1287
945.0,1287
946.0,1289
947.0,1290
948.0,1290
949.0,1291
950.0,1296
951.0,1303
952.0,1304
953.0,1342
954.0,1417
955.0,1421
956.0,1421
957.0,1434
958.0,1441
959.0,1471
960.0,1471
961.0,1473
962.0,1474
963.0,1505
964.0,1506
965.0,1548
966.0,1581
967.0,1585
968.0,1628
969.0,1628
970.0,1630
971.0,1630
972.0,1631
973.0,1632
974.0,1634
975.0,1634
976.0,1641
977.0,1625
978.0,1629
979.0,1630
980.0,1632
981.0,1634
982.0,1634
983.0,1634
984.0,1635
985.0,1636
986.0,1716
987.0,1719
988.0,1719
989.0,1677
990.0,1678
991.0,1679
992.0,1680
993.0,1681
994.0,1697
995.0,1657
996.0,1658
997.0,1658
998.0,1658
999.0,1659
