gap,value
472.0,3892
473.0,3848
474.0,3834
475.0,3827
476.0,3821
477.0,3761
478.0,3731
479.0,3723
480.0,3673
481.0,3687
482.0,3680
483.0,3656
484.0,3637
485.0,3587
486.0,3578
487.0,3570
488.0,3559
489.0,3526
490.0,3505
491.0,3465
492.0,3450
493.0,3460
494.0,3416
495.0,3399
496.0,3389
497.0,3383
498.0,3358
499.0,3336
500.0,3316
501.0,3319
502.0,3281
503.0,3272
504.0,3257
505.0,3248
506.0,3226
507.0,3204
508.0,3181
509.0,3175
510.0,3169
511.0,3162
512.0,3158
513.0,3117
514.0,3131
515.0,3124
516.0,3096
517.0,3027
518.0,2980
519.0,2947
520.0,2924
521.0,2916
522.0,2872
523.0,2825
524.0,2821
525.0,2796
526.0,2771
527.0,2764
528.0,2749
529.0,2700
530.0,2693
531.0,2663
532.0,2656
533.0,2605
534.0,2581
535.0,2558
536.0,2528
537.0,2525
538.0,2484
539.0,2471
540.0,2462
541.0,2455
542.0,2415
543.0,2404
544.0,2402
545.0,2384
546.0,2376
547.0,2353
548.0,2336
549.0,2310
550.0,2292
551.0,2229
552.0,2193
553.0,2169
554.0,2164
555.0,2140
556.0,2120
557.0,2063
558.0,2034
559.0,1967
560.0,1923
561.0,1866
562.0,1849
563.0,1828
564.0,1802
565.0,1832
566.0,1798
567.0,1794
568.0,1788
569.0,1777
570.0,1738
571.0,1728
572.0,1706
573.0,1655
574.0,1620
575.0,1577
576.0,1556
577.0,1537
578.0,1515
579.0,1470
580.0,1416
581.0,1399
582.0,1345
583.0,1302
584.0,1260
585.0,1251
586.0,1230
587.0,1207
588.0,1183
589.0,1171
590.0,1155
591.0,1141
592.0,1116
593.0,1088
594.0,1046
595.0,1049
596.0,1044
597.0,1035
598.0,1017
599.0,1000
600.0,989
601.0,975
602.0,962
603.0,947
604.0,936
605.0,904
606.0,881
607.0,864
608.0,826
609.0,776
610.0,768
611.0,749
612.0,746
613.0,740
614.0,731
615.0,703
616.0,685
617.0,649
618.0,594
619.0,549
620.0,542
621.0,520
622.0,517
623.0,509
624.0,507
625.0,491
626.0,468
627.0,446
628.0,427
629.0,419
630.0,408
631.0,383
632.0,381
633.0,373
634.0,358
635.0,346
636.0,341
637.0,333
638.0,326
639.0,321
640.0,298
641.0,286
642.0,290
643.0,289
644.0,286
645.0,282
646.0,270
647.0,259
648.0,256
649.0,245
650.0,243
651.0,238
652.0,223
653.0,218
654.0,206
655.0,204
656.0,194
657.0,171
658.0,162
659.0,153
660.0,151
661.0,150
662.0,150
663.0,145
664.0,145
665.0,144
666.0,141
667.0,140
668.0,139
669.0,135
670.0,134
671.0,131
672.0,130
673.0,129
674.0,129
675.0,129
676.0,129
677.0,127
678.0,127
679.0,126
680.0,124
681.0,124
682.0,123
683.0,123
684.0,122
685.0,122
686.0,119
687.0,116
688.0,116
689.0,116
690.0,116
691.0,116
692.0,115
693.0,115
694.0,114
695.0,113
696.0,113
697.0,112
698.0,112
699.0,112
700.0,111
701.0,111
702.0,111
703.0,111
704.0,111
705.0,110
706.0,110
707.0,109
708.0,109
709.0,109
710.0,109
711.0,109
712.0,108
713.0,108
714.0,108
715.0,108
716.0,108
717.0,107
718.0,107
719.0,107
720.0,107
721.0,107
722.0,107
723.0,107
724.0,107
725.0,107
726.0,107
727.0,107
728.0,107
729.0,107
730.0,110
731.0,110
732.0,116
733.0,116
734.0,116
735.0,116
736.0,116
737.0,116
738.0,116
739.0,116
740.0,116
741.0,116
742.0,116
743.0,116
744.0,117
745.0,117
746.0,117
747.0,131
748.0,132
749.0,132
750.0,133
751.0,133
752.0,133
753.0,134
754.0,134
755.0,134
756.0,134
757.0,133
758.0,133
759.0,133
760.0,132
761.0,133
762.0,134
763.0,134
764.0,134
765.0,136
766.0,136
767.0,137
768.0,138
769.0,140
770.0,141
771.0,141
772.0,113
773.0,114
774.0,116
775.0,116
776.0,117
777.0,119
778.0,121
779.0,121
780.0,124
781.0,124
782.0,134
783.0,134
784.0,136
785.0,136
786.0,136
787.0,140
788.0,141
789.0,141
790.0,142
791.0,143
792.0,145
793.0,195
794.0,198
795.0,233
796.0,232
797.0,234
798.0,234
799.0,236
800.0,236
801.0,294
802.0,299
803.0,308
804.0,323
805.0,321
806.0,322
807.0,322
808.0,325
809.0,369
810.0,378
811.0,397
812.0,414
813.0,419
814.0,421
815.0,423
816.0,425
817.0,428
818.0,436
819.0,437
820.0,438
821.0,459
822.0,459
823.0,463
824.0,489
825.0,499
826.0,504
827.0,534
828.0,537
829.0,543
830.0,578
831.0,590
832.0,597
833.0,599
834.0,608
835.0,609
836.0,688
837.0,691
838.0,702
839.0,703
840.0,725
841.0,728
842.0,730
843.0,732
844.0,738
845.0,779
846.0,831
847.0,854
848.0,858
849.0,867
850.0,1016
851.0,1039
852.0,1087
853.0,1093
854.0,1099
855.0,1135
856.0,1172
857.0,1214
858.0,1217
859.0,1228
860.0,1268
861.0,1280
862.0,1288
863.0,1335
864.0,1343
865.0,1402
866.0,1405
867.0,1433
868.0,1467
869.0,1447
870.0,1487
871.0,1487
872.0,1489
873.0,1542
874.0,1547
875.0,1577
876.0,1595
877.0,1603
878.0,1605
879.0,1611
880.0,1651
881.0,1684
882.0,1691
883.0,1698
884.0,1704
885.0,1712
886.0,1717
887.0,1746
888.0,1757
889.0,1803
890.0,1807
891.0,1809
892.0,1820
893.0,1826
894.0,1855
895.0,1906
896.0,1913
897.0,1915
898.0,1965
899.0,2011
900.0,2025
901.0,2004
902.0,2050
903.0,2059
904.0,2118
905.0,2152
906.0,2165
907.0,2174
908.0,2240
909.0,2228
910.0,2231
911.0,2234
912.0,2252
913.0,2288
914.0,2304
915.0,2312
916.0,2319
917.0,2347
918.0,2350
919.0,2359
920.0,2363
921.0,2400
922.0,2449
923.0,2490
924.0,2519
925.0,2553
926.0,2560
927.0,2631
928.0,2682
929.0,2695
930.0,2729
931.0,2736
932.0,2778
933.0,2807
934.0,2826
935.0,2898
936.0,2929
937.0,2940
938.0,2958
939.0,2985
940.0,3004
941.0,3047
942.0,3084
943.0,3091
944.0,3134
945.0,3210
946.0,3216
947.0,3227
948.0,3228
949.0,3260
950.0,3275
951.0,3284
952.0,3288
953.0,3635
954.0,3741
955.0,3746
956.0,3750
957.0,3767
958.0,3784
959.0,3851
960.0,3853
961.0,3892
962.0,3894
963.0,3926
964.0,3928
965.0,3976
966.0,4012
967.0,4018
968.0,4062
969.0,4067
970.0,4102
971.0,4102
972.0,4104
973.0,4106
974.0,4110
975.0,4113
976.0,4121
977.0,4107
978.0,4114
979.0,4116
980.0,4120
981.0,4123
982.0,4125
983.0,4127
984.0,4169
985.0,4172
986.0,4256
987.0,4259
988.0,4260
989.0,4225
990.0,4228
991.0,4230
992.0,4232
993.0,4235
994.0,4277
995.0,4240
996.0,4242
997.0,4243
998.0,4246
999.0,4247
