counts,value,time
0,0.72,1.1445915699005127
1,0.72,15.762160539627075
2,0.72,17.946152210235596
3,0.72,26.73032832145691
0,0.745,1.8644537925720215
0,0.704,2.609128713607788
1,0.704,10.649111270904541
0,0.792,3.313149929046631
1,0.792,9.145211219787598
2,0.792,23.03422975540161
0,0.712,4.105151414871216
1,0.712,9.936766862869263
2,0.712,12.841603994369507
3,0.712,23.82670021057129
4,0.712,26.01867938041687
0,0.68,4.816964149475098
0,0.76,5.4971113204956055
1,0.76,11.353334665298462
2,0.76,19.441874504089355
0,0.729,6.256728410720825
1,0.729,12.112861633300781
2,0.729,15.033602714538574
0,0.711,6.9854655265808105
0,0.752,7.696775913238525
1,0.752,25.26642370223999
0,0.696,8.449166059494019
1,0.696,22.338498830795288
0,0.736,13.553169012069702
1,0.736,16.482019901275635
2,0.736,20.86639714241028
3,0.736,21.60274577140808
0,0.744,14.289222478866577
1,0.744,28.20333170890808
0,0.728,17.21791982650757
0,0.776,18.66591763496399
0,0.664,20.201919317245483
0,0.727,24.538976430892944
0,0.753,27.45067596435547
0,0.688,28.947052478790283
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
