counts,value,time
0,0.728,1.8577039241790771
0,0.73,2.585474967956543
1,0.73,20.146363019943237
0,0.718,3.3152406215667725
0,1.523,4.032827854156494
0,0.695,5.555854558944702
0,0.72,6.251065731048584
1,0.72,26.745945692062378
0,0.725,6.9710612297058105
0,0.746,7.695924520492554
0,0.729,8.442162275314331
0,0.731,9.171325922012329
1,0.731,25.257035970687866
0,0.727,9.902652740478516
0,0.714,10.629950761795044
0,0.754,11.344152927398682
0,0.724,12.098445653915405
0,0.706,12.82246732711792
0,0.749,13.528211116790771
0,0.739,14.27672290802002
1,0.739,15.765544176101685
0,0.75,15.015443325042725
0,0.753,16.504610776901245
0,0.705,17.257927656173706
0,0.732,17.962754249572754
1,0.732,21.553813457489014
0,0.704,18.694315910339355
0,0.748,19.39790964126587
0,0.678,20.87623906135559
0,0.812,22.285635709762573
0,0.708,23.098074197769165
0,0.688,23.80597758293152
0,0.763,24.49399971961975
0,0.758,25.98796033859253
0,0.717,27.466267824172974
0,0.713,28.1833598613739
0,0.773,28.896467208862305
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
