counts,value,time
0,0.752,1.8161730766296387
1,0.752,6.903962850570679
2,0.752,20.07992124557495
3,0.752,23.720990419387817
0,0.688,2.56845760345459
1,0.688,14.272688150405884
0,0.768,3.2567288875579834
0,0.744,4.024433135986328
1,0.744,27.400800228118896
0,0.672,4.768887996673584
0,0.76,5.440629482269287
1,0.76,17.90501856803894
0,0.704,6.200166702270508
1,0.704,22.280123710632324
2,0.704,25.97669744491577
0,0.736,7.656212091445923
0,0.743,8.392654418945312
1,0.743,14.960864067077637
0,0.745,9.136062622070312
0,0.728,9.880610704421997
0,0.712,10.608361005783081
1,0.712,18.664807558059692
2,0.712,24.472527742385864
0,0.735,11.320519924163818
0,0.721,12.05592656135559
0,0.719,12.776908874511719
0,0.776,13.496376752853394
0,0.729,15.70395040512085
0,0.687,16.432687520980835
0,0.785,17.120086669921875
0,0.703,19.37685203552246
0,0.737,20.83225107192993
1,0.737,22.984086751937866
0,0.711,21.568814516067505
0,0.792,25.184269905090332
0,0.72,26.68068265914917
1,0.72,28.144884824752808
2,0.72,28.864537477493286
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
