counts,value,time
0,2.832,3.3523099422454834
0,0.655,6.184486627578735
0,0.713,6.839499235153198
0,0.768,7.5521204471588135
0,0.736,8.319937705993652
1,0.736,28.000242710113525
0,0.688,9.056329250335693
0,0.744,9.74465298652649
1,0.744,14.855837106704712
0,0.792,10.488441705703735
0,0.695,11.280380249023438
0,0.672,11.975812673568726
0,0.704,12.648072957992554
1,0.704,20.719829082489014
0,0.775,13.352174997329712
1,0.775,28.73604655265808
0,0.728,14.127647399902344
1,0.728,22.887835264205933
0,0.727,15.600199699401855
1,0.727,22.160393953323364
2,0.727,25.09648895263672
0,0.737,16.327619314193726
1,0.737,18.503856658935547
2,0.737,21.423521995544434
0,0.673,17.064273595809937
0,0.766,17.73751711845398
0,0.759,19.24036955833435
0,0.72,19.99975085258484
0,0.76,23.615971326828003
0,0.721,24.375606536865234
0,0.752,25.82361102104187
0,0.712,26.5758056640625
1,0.712,27.28825330734253
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
