counts,value,time
0,0.801,1.7520043849945068
0,0.712,2.5527217388153076
1,0.712,3.2644100189208984
0,0.704,3.976773977279663
1,0.704,9.816859006881714
0,0.768,4.68062424659729
1,0.768,10.52078104019165
0,0.729,5.448182821273804
0,0.728,6.17673134803772
1,0.728,6.904413461685181
2,0.728,25.152875185012817
3,0.728,27.368688821792603
0,0.72,7.6326377391815186
1,0.72,9.096459865570068
2,0.72,11.288389444351196
3,0.72,17.86490273475647
4,0.72,22.968461990356445
0,0.744,8.352566957473755
1,0.744,17.1207857131958
2,0.744,22.224878072738647
3,0.744,25.88071846961975
4,0.744,26.624786376953125
0,0.705,12.00835108757019
0,0.736,12.712855577468872
1,0.736,20.77663516998291
0,0.727,13.448871612548828
0,0.752,14.176295042037964
1,0.752,15.616626262664795
2,0.752,16.368954181671143
3,0.752,19.273097276687622
4,0.752,20.0246319770813
5,0.752,24.400967359542847
0,0.688,14.928202867507935
1,0.688,18.5846848487854
0,0.713,21.512361526489258
1,0.713,23.688411235809326
0,0.776,28.09693455696106
0,0.687,28.873043060302734
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
