counts,value,time
0,0.728,1.7844128608703613
1,0.728,3.96883225440979
2,0.728,6.896418571472168
3,0.728,10.553036212921143
0,0.68,2.512774705886841
0,0.776,3.1929566860198975
0,0.704,4.696602821350098
1,0.704,16.4090518951416
2,0.704,21.521105527877808
3,0.704,28.033286571502686
0,0.744,5.40069055557251
1,0.744,8.320453643798828
0,0.751,6.14500617980957
1,0.751,17.11301279067993
0,0.696,7.624218463897705
1,0.696,27.337268829345703
0,0.72,9.064577579498291
1,0.72,13.456313133239746
0,0.768,9.784625768661499
0,0.711,11.281054019927979
0,0.737,11.992342710494995
0,0.727,12.729161500930786
1,0.727,14.921199798583984
0,0.745,14.176214456558228
0,0.76,15.648677587509155
0,0.665,17.86437439918518
0,0.632,18.528977394104004
0,0.856,19.16117811203003
0,0.775,20.016981840133667
0,0.729,20.79220461845398
0,0.736,22.225019216537476
0,0.712,22.960606336593628
0,0.705,23.672701358795166
0,0.816,24.377249240875244
1,0.816,28.737282752990723
0,0.664,25.193029403686523
0,0.792,25.856834650039673
0,0.688,26.649240493774414
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
