counts,value,time
0,0.741,0.9859905242919922
1,0.741,20.0342435836792
0,0.765,1.7271413803100586
0,0.725,2.492291212081909
1,0.725,6.163965463638306
2,0.725,23.707063913345337
0,0.729,3.2175872325897217
1,0.729,27.347076177597046
0,0.739,3.9469215869903564
1,0.739,7.60158896446228
0,0.726,4.686153411865234
0,0.752,5.41218113899231
1,0.752,25.865372896194458
0,0.712,6.889362573623657
1,0.712,25.153075695037842
0,0.724,8.340973377227783
0,0.732,9.065411567687988
0,0.738,9.797848224639893
1,0.738,19.296218395233154
0,0.745,10.535553455352783
1,0.745,28.80402421951294
0,0.713,11.28018832206726
1,0.713,11.99299430847168
0,0.754,12.70627760887146
0,0.723,13.460495471954346
0,0.744,14.183257818222046
0,0.721,14.927187204360962
1,0.721,17.114347219467163
2,0.721,24.43187165260315
0,0.72,15.648113012313843
0,0.746,16.367877960205078
0,0.73,17.835641860961914
1,0.73,26.61713671684265
0,0.731,18.565289974212646
0,0.709,20.77538013458252
0,0.735,21.484729290008545
0,0.748,22.219984531402588
0,0.74,22.96749758720398
0,0.728,28.075842142105103
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
