counts,value,time
0,0.72,16.503464698791504
1,0.72,23.087658643722534
2,0.72,23.80772614479065
3,0.72,24.528125286102295
0,0.744,17.223446369171143
1,0.744,25.98421812057495
0,1.464,17.967720985412598
0,0.736,19.43174409866333
1,0.736,25.24786639213562
2,0.736,28.944391012191772
0,1.425,20.16756010055542
0,0.767,21.59255051612854
0,0.728,22.359429359436035
0,0.76,26.72774076461792
0,0.704,27.488051652908325
0,0.753,28.191739559173584
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
