counts,value,time
0,0.766,1.1057987213134766
1,0.766,4.017808198928833
0,0.686,1.871788740158081
0,0.719,2.5581884384155273
1,0.719,10.601761102676392
2,0.719,14.997764110565186
3,0.719,17.194593906402588
0,0.741,3.2770774364471436
1,0.741,12.801378726959229
0,0.714,4.783606767654419
1,0.714,20.13230538368225
0,0.703,5.497555255889893
0,0.746,6.200077533721924
1,0.746,27.426731824874878
0,0.743,6.946513891220093
0,0.712,7.68976616859436
0,0.704,8.402116298675537
0,0.757,9.10654902458191
0,0.739,9.863221645355225
1,0.739,21.562273740768433
0,0.77,11.321195125579834
0,0.71,12.090923309326172
0,0.716,13.542060852050781
1,0.716,20.846291065216064
0,0.74,14.257927894592285
0,0.753,15.716796636581421
0,0.725,16.470056772232056
0,0.737,17.91386389732361
1,0.737,23.03447699546814
0,0.748,18.650646686553955
0,0.734,19.398648023605347
1,0.734,28.889591932296753
0,0.733,22.30168628692627
0,0.713,23.77111291885376
1,0.713,26.71327257156372
0,0.758,24.483750104904175
0,0.717,25.24211549758911
1,0.717,28.17240023612976
0,0.754,25.959048748016357
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
