counts,value,time
0,0.701,1.1430799961090088
0,0.739,1.8444910049438477
1,0.739,6.264287948608398
0,0.744,2.583091974258423
0,0.758,3.3266141414642334
0,0.695,4.08474326133728
0,0.754,4.7800939083099365
0,0.73,5.5340964794158936
0,0.734,7.003117084503174
1,0.734,21.621423959732056
0,0.714,7.737124443054199
1,0.714,14.286249876022339
0,0.729,8.451440572738647
0,0.767,9.180527448654175
1,0.767,23.77357029914856
0,0.718,9.947564601898193
0,0.713,10.66525912284851
0,0.688,11.377862453460693
0,0.757,12.065598249435425
0,0.735,12.82246446609497
0,0.728,13.557918787002563
1,0.728,28.218989372253418
0,0.745,15.000012159347534
0,0.752,15.744621992111206
0,0.731,16.496604204177856
1,0.731,20.116668701171875
0,0.708,17.22751212120056
0,0.751,17.935548305511475
0,0.727,18.6868577003479
0,0.703,19.414103269577026
0,0.774,20.84787154197693
0,0.722,22.355273485183716
0,0.696,23.077308416366577
0,0.723,24.5404372215271
0,0.759,25.263569116592407
0,0.715,26.022350311279297
0,0.71,26.736987113952637
0,0.772,27.44664430618286
0,0.707,28.94698715209961
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
