counts,value,time
1,0.768,1.8319075107574463
2,0.768,27.433128833770752
3,0.768,9.856662273406982
4,0.768,20.1532883644104
5,0.768,12.088374614715576
6,0.768,12.856189727783203
7,0.768,28.95222496986389
8,0.768,2.5277767181396484
9,0.768,26.616361618041992
10,0.768,9.983400583267212
11,0.768,25.29596495628357
1,0.705,2.5998599529266357
2,0.705,4.008328914642334
3,0.705,22.375985145568848
4,0.705,4.854977607727051
1,0.735,3.3050520420074463
2,0.735,20.920535802841187
1,0.752,4.040083408355713
2,0.752,17.2406907081604
3,0.752,24.544766664505005
4,0.752,1.8609812259674072
5,0.752,8.389981031417847
6,0.752,27.504579067230225
7,0.752,13.456305265426636
8,0.752,27.384023904800415
9,0.752,1.223022699356079
10,0.752,20.895650625228882
1,0.76,4.792527198791504
2,0.76,12.856568336486816
3,0.76,18.648741245269775
4,0.76,20.913007497787476
5,0.76,3.24806809425354
6,0.76,14.312583923339844
7,0.76,18.016430854797363
8,0.76,19.992543697357178
9,0.76,16.102978467941284
10,0.76,28.23928999900818
1,0.704,5.5522308349609375
2,0.704,9.17620038986206
3,0.704,28.9774227142334
4,0.704,11.384379386901855
5,0.704,26.015770435333252
6,0.704,1.8239836692810059
7,0.704,24.592018365859985
1,0.72,6.256212949752808
2,0.72,16.520769357681274
3,0.72,23.080564737319946
4,0.72,2.5281786918640137
5,0.72,4.7128589153289795
6,0.72,20.145249843597412
7,0.72,20.865164518356323
8,0.72,23.7932071685791
9,0.72,6.239933013916016
10,0.72,4.896053314208984
11,0.72,21.65595555305481
12,0.72,22.391870260238647
1,0.776,6.9766685962677
2,0.776,19.4088397026062
3,0.776,28.20151138305664
4,0.776,17.104090690612793
5,0.776,3.3826160430908203
6,0.776,9.206984043121338
1,0.687,7.752652645111084
2,0.687,22.369332313537598
3,0.687,7.752017974853516
4,0.687,10.751516580581665
1,0.736,8.440150737762451
2,0.736,15.785124778747559
3,0.736,23.056710481643677
4,0.736,2.632418155670166
5,0.736,3.975828170776367
6,0.736,7.640680313110352
7,0.736,18.023092031478882
8,0.736,20.159419298171997
9,0.736,23.112111568450928
1,0.744,9.880501747131348
2,0.744,11.368414163589478
3,0.744,12.11256742477417
4,0.744,15.041285991668701
5,0.744,23.801048755645752
6,0.744,12.080796957015991
7,0.744,24.51358652114868
8,0.744,18.75918483734131
9,0.744,21.647920846939087
10,0.744,23.848095655441284
11,0.744,26.775938510894775
1,0.743,10.62499737739563
2,0.743,15.745453596115112
3,0.743,3.368527889251709
4,0.743,23.08143138885498
5,0.743,5.559682607650757
1,0.688,13.616770505905151
2,0.688,26.008972644805908
3,0.688,5.616195201873779
4,0.688,13.624434471130371
5,0.688,1.975055456161499
1,0.737,14.304548978805542
2,0.737,20.183812379837036
1,0.656,17.992671251296997
2,0.656,8.376502752304077
3,0.656,16.448511600494385
4,0.656,19.50318670272827
1,0.728,20.185007333755493
2,0.728,26.009551286697388
3,0.728,12.824467897415161
4,0.728,28.999717235565186
1,0.696,21.67313528060913
2,0.696,26.73708748817444
3,0.696,1.8323886394500732
4,0.696,24.592745542526245
5,0.696,28.25635576248169
6,0.696,4.15896201133728
1,0.712,22.368741750717163
2,0.712,17.233885526657104
3,0.712,26.6972017288208
4,0.712,6.304452896118164
5,0.712,6.136255741119385
6,0.712,17.880199909210205
7,0.712,25.904552936553955
8,0.712,26.06366491317749
1,0.713,25.297044038772583
1,0.719,1.1129369735717773
2,0.719,2.6633546352386475
3,0.719,13.599918603897095
4,0.719,27.519795894622803
1,0.791,5.432790994644165
1,0.753,6.224077224731445
2,0.753,9.920010566711426
3,0.753,19.23985743522644
1,0.784,6.976885080337524
2,0.784,9.072417259216309
3,0.784,21.58488941192627
4,0.784,4.111985206604004
1,0.648,7.760737419128418
2,0.648,27.505651712417603
3,0.648,18.77676033973694
4,0.648,5.48859977722168
5,0.648,18.59226655960083
1,0.663,8.409021139144897
2,0.663,13.640655040740967
1,0.689,10.624407529830933
2,0.689,15.056464910507202
3,0.689,25.2159161567688
1,0.767,11.31358790397644
2,0.767,9.14171552658081
3,0.767,28.80864405632019
4,0.767,8.43950629234314
1,0.721,13.552347421646118
2,0.721,28.928861379623413
1,0.783,14.273344993591309
2,0.783,28.824888944625854
1,0.745,16.488577842712402
2,0.745,19.400635480880737
3,0.745,23.69594669342041
1,1.454,17.94625163078308
1,0.751,25.257665634155273
2,0.751,24.581274032592773
3,0.751,8.552765846252441
1,0.464,27.40908408164978
1,1.056,27.873116731643677
1,0.623,1.237961769104004
2,0.623,7.767139673233032
1,0.631,2.6125545501708984
1,0.711,3.243483543395996
2,0.711,10.672893047332764
1,0.895,3.954937219619751
1,0.665,4.8495893478393555
1,0.726,5.514161586761475
1,0.807,6.959972858428955
2,0.807,18.64304208755493
1,0.775,9.9088876247406
2,0.775,24.44057059288025
1,0.599,10.68394923210144
1,0.848,11.282941102981567
1,0.75,12.131404399871826
1,0.759,12.88178277015686
2,0.759,19.42437243461609
1,0.727,14.303322553634644
2,0.727,16.53381609916687
3,0.727,25.288624048233032
1,1.503,15.030792474746704
1,0.703,17.26067352294922
2,0.703,19.45009732246399
3,0.703,22.99247908592224
4,0.703,12.215675830841064
1,0.679,17.964141368865967
1,0.671,20.921199798583984
2,0.671,28.1534264087677
1,0.799,21.5918869972229
2,0.799,22.958860158920288
1,0.568,22.39097285270691
2,0.568,11.752046823501587
1,0.824,23.75745940208435
1,0.624,25.332011699676514
2,0.624,9.032120704650879
1,0.966,25.95577335357666
1,0.584,26.922114610671997
1,0.672,1.9602417945861816
2,0.672,28.13625478744507
1,0.649,7.016291379928589
1,0.888,7.664838552474976
2,0.888,9.656001806259155
1,0.616,9.304078102111816
1,0.695,15.072731733322144
1,0.816,15.768163204193115
1,0.769,16.584025859832764
2,0.769,23.82405972480774
1,0.664,17.352732181549072
2,0.664,6.302769660949707
1,0.785,26.7198805809021
2,0.785,6.96674919128418
1,0.68,3.2957401275634766
2,0.68,14.20840334892273
1,0.777,4.711764335632324
2,0.777,11.43898320198059
1,0.792,6.848691940307617
1,0.576,10.544083595275879
1,0.632,11.120245933532715
1,1.136,12.320502996444702
1,0.976,14.88796591758728
2,0.976,15.127253770828247
1,0.585,15.863706588745117
1,0.569,20.75219750404358
1,0.832,21.321386575698853
1,0.839,22.15352487564087
1,0.681,12.919079780578613
1,0.808,14.319285869598389
1,1.16,16.863207578659058
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
