counts,value,time
1,0.727,1.8002734184265137
2,0.727,21.536409854888916
3,0.727,23.72036337852478
4,0.727,15.624300956726074
5,0.727,7.008405923843384
6,0.727,13.135905265808105
7,0.727,27.008028984069824
8,0.727,2.589195489883423
9,0.727,1.7748260498046875
10,0.727,13.448871612548828
11,0.727,19.640923261642456
12,0.727,23.08071780204773
13,0.727,28.097090244293213
14,0.727,9.82390832901001
15,0.727,15.608473300933838
1,0.72,2.527517318725586
2,0.72,9.088352918624878
3,0.72,13.488358736038208
4,0.72,17.88015055656433
5,0.72,19.34388542175293
6,0.72,24.447617292404175
7,0.72,25.847954750061035
8,0.72,4.104221343994141
9,0.72,4.82436466217041
10,0.72,7.735843896865845
11,0.72,10.65611743927002
12,0.72,15.768723726272583
13,0.72,28.200993299484253
14,0.72,3.2396464347839355
15,0.72,7.615845203399658
16,0.72,9.07237720489502
17,0.72,10.552461624145508
18,0.72,25.903915643692017
19,0.72,8.751042366027832
20,0.72,10.927275896072388
21,0.72,13.863131523132324
22,0.72,17.51963233947754
23,0.72,25.543724060058594
24,0.72,4.04493522644043
25,0.72,11.333105087280273
26,0.72,15.725697994232178
27,0.72,18.654024362564087
28,0.72,24.495065212249756
29,0.72,25.966434240341187
30,0.72,15.640269994735718
31,0.72,20.75288414955139
32,0.72,22.224527835845947
33,0.72,25.152544021606445
34,0.72,28.80049967765808
35,0.72,9.765075922012329
36,0.72,28.04480218887329
37,0.72,4.6961376667022705
38,0.72,11.98437762260437
39,0.72,13.448264360427856
40,0.72,18.600027322769165
41,0.72,3.950615644454956
42,0.72,4.670133590698242
43,0.72,17.086825132369995
44,0.72,7.6326377391815186
45,0.72,9.096459865570068
46,0.72,11.288389444351196
47,0.72,17.86490273475647
48,0.72,22.968461990356445
49,0.72,9.91980528831482
50,0.72,10.63969087600708
51,0.72,12.095272541046143
52,0.72,18.687253952026367
53,0.72,22.343493461608887
54,0.72,28.935729503631592
55,0.72,5.559964418411255
56,0.72,7.032905578613281
57,0.72,12.321004629135132
58,0.72,25.480488300323486
59,0.72,4.0797624588012695
60,0.72,4.799818992614746
61,0.72,9.18449854850769
62,0.72,17.208293437957764
63,0.72,20.85647201538086
64,0.72,23.808103322982788
65,0.72,9.088276624679565
66,0.72,10.520070552825928
