counts,value,time
1,1.432,3.360089063644409
1,0.761,4.791787624359131
1,0.728,5.5523529052734375
2,0.728,6.279937267303467
3,0.728,15.048336267471313
1,0.744,7.0075225830078125
2,0.744,18.69593381881714
3,0.744,20.840333223342896
1,1.384,7.751727342605591
1,0.76,9.13593339920044
2,0.76,14.288332462310791
1,0.735,9.89609670639038
1,0.729,10.631433725357056
1,0.752,11.360017538070679
2,0.752,23.78434443473816
1,0.688,12.11158800125122
1,0.768,12.799389123916626
2,0.768,27.447847366333008
1,0.721,13.567550659179688
2,0.721,16.479467630386353
1,0.703,15.776303052902222
1,0.743,17.200029611587524
1,0.753,17.943363904953003
1,1.401,19.439542531967163
1,0.759,21.584340810775757
1,0.704,22.343732357025146
1,0.737,23.04739737510681
1,0.751,24.536338090896606
1,1.144,25.287781476974487
1,1.016,26.43183207511902
1,1.4,28.215417623519897
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
