counts,value,time
0,0.711,2.640352725982666
1,0.711,23.80886459350586
0,0.752,3.3518364429473877
1,0.752,18.664591789245605
2,0.752,25.96833109855652
0,0.72,4.104221343994141
1,0.72,4.82436466217041
2,0.72,7.735843896865845
3,0.72,10.65611743927002
4,0.72,15.768723726272583
5,0.72,28.200993299484253
0,0.728,5.54399847984314
1,0.728,8.456087827682495
2,0.728,12.840532779693604
3,0.728,13.568070888519287
4,0.728,17.23261833190918
5,0.728,20.1599018573761
6,0.728,28.920803546905518
0,0.737,6.271867513656616
1,0.737,15.031968116760254
2,0.737,27.4640896320343
0,0.727,7.008405923843384
0,0.768,9.183842658996582
1,0.768,21.58457589149475
0,0.704,9.952282667160034
1,0.704,17.960267305374146
0,0.743,11.376465320587158
1,0.743,26.720659255981445
0,0.721,12.119877815246582
1,0.721,23.08829116821289
0,0.736,14.296162605285645
1,0.736,22.352790117263794
0,0.744,16.488398551940918
1,0.744,19.4162540435791
0,0.697,20.88794755935669
0,0.792,24.520057439804077
0,0.656,25.312414169311523
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
