counts,value,time
1,0.328,1.0078458786010742
1,0.408,1.3355658054351807
1,0.36,1.743736982345581
1,0.369,2.103403329849243
1,0.367,2.471926689147949
1,0.361,2.838719129562378
1,0.72,3.1999406814575195
2,0.72,4.671530485153198
3,0.72,20.75199270248413
4,0.72,28.799668312072754
1,0.752,3.9195685386657715
2,0.752,6.088010311126709
3,0.752,13.439773559570312
4,0.752,19.999562740325928
1,0.696,5.391690969467163
2,0.696,14.191974878311157
1,0.744,6.839815378189087
2,0.744,12.6958589553833
3,0.744,23.64744544029236
4,0.744,27.328224658966064
1,0.728,7.583380937576294
2,0.728,15.623495101928711
3,0.728,19.271837949752808
4,0.728,21.4720242023468
5,0.728,22.20035481452942
6,0.728,24.391692876815796
7,0.728,28.071878910064697
1,0.713,8.311168670654297
1,0.736,9.023940801620483
2,0.736,9.760132312774658
3,0.736,11.959527969360352
4,0.736,14.887696504592896
5,0.736,25.120068311691284
6,0.736,25.855992317199707
7,0.736,26.591822624206543
1,0.76,10.496165990829468
2,0.76,17.03967547416687
1,0.704,11.255669593811035
2,0.704,18.567392110824585
1,0.688,16.351452827453613
1,0.768,17.799744606018066
1,0.719,22.928062915802002
1,0.735,29.520150423049927
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.7,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
