counts,value,time
0,0.371,1.6988306045532227
0,0.387,2.0698165893554688
0,0.358,2.4570858478546143
1,0.358,8.259020805358887
2,0.358,9.001720190048218
3,0.358,26.552034616470337
0,0.339,2.8154821395874023
0,0.333,3.15476655960083
0,0.39,3.487614870071411
1,0.39,18.517781734466553
0,0.376,3.8772006034851074
1,0.376,14.146449565887451
0,0.378,4.253302335739136
1,0.378,10.858829498291016
2,0.378,13.768925666809082
0,0.355,4.631038665771484
1,0.355,15.975072145462036
0,0.379,4.985667705535889
1,0.379,9.35934329032898
2,0.379,25.095208168029785
0,0.367,5.364954948425293
1,0.367,27.268816471099854
0,0.359,5.732400894165039
1,0.359,17.41652798652649
2,0.359,26.90986466407776
0,0.362,6.091254234313965
1,0.362,12.670828342437744
0,0.363,6.452916383743286
1,0.363,15.227637529373169
2,0.363,18.155147314071655
3,0.363,23.25692391395569
4,0.363,23.99505853652954
5,0.363,24.731899976730347
6,0.363,25.47459578514099
0,0.369,6.816007375717163
1,0.369,7.184662580490112
2,0.369,7.8896801471710205
0,0.336,7.553618907928467
0,0.385,8.617159366607666
0,0.384,9.73809289932251
1,0.384,10.12195634841919
2,0.384,15.590637683868408
0,0.353,10.50601577758789
1,0.353,19.273848295211792
0,0.361,11.237128734588623
0,0.375,11.598519802093506
1,0.375,23.619763135910034
0,0.356,11.973979949951172
1,0.356,20.716448068618774
2,0.356,21.422754764556885
0,0.341,12.329823970794678
1,0.341,14.522322654724121
0,0.37,13.032710313796997
0,0.366,13.402566194534302
1,0.366,18.90799045562744
2,0.366,22.13579249382019
0,0.364,14.863547563552856
0,0.348,16.33044409751892
0,0.357,16.678606510162354
1,0.357,21.77884268760681
0,0.381,17.035388469696045
1,0.381,22.501628398895264
0,0.38,17.775470495224
1,0.38,29.44855523109436
0,0.382,19.626410484313965
0,0.373,20.008512258529663
0,0.335,20.381611108779907
0,0.351,21.072121620178223
0,0.374,22.882654428482056
1,0.374,24.357790231704712
0,0.372,25.83742928504944
0,0.342,26.2098445892334
0,0.343,27.635318994522095
0,0.368,27.97795033454895
0,0.354,28.34578800201416
0,0.402,28.699934720993042
0,0.346,29.102119207382202
0,0.701,1.8736753463745117
1,0.701,5.469366073608398
2,0.701,16.408820390701294
3,0.701,8.442033290863037
4,0.701,17.202340841293335
0,0.562,2.5746757984161377
1,0.562,3.908555746078491
2,0.562,3.322871685028076
3,0.562,6.9694812297821045
4,0.562,13.538447618484497
0,0.033,3.136390447616577
1,0.033,3.169370651245117
2,0.033,6.780668497085571
3,0.033,14.10073471069336
4,0.033,15.551905632019043
0,0.131,3.202578544616699
0,0.566,3.333246946334839
1,0.566,12.812572002410889
0,0.138,3.89915132522583
0,0.565,4.036662578582764
1,0.565,2.4323432445526123
2,0.565,6.215298414230347
3,0.565,12.073177814483643
0,0.034,4.601362466812134
1,0.034,12.638038396835327
0,0.164,4.635236740112305
