counts,value,time
0,0.75,3.319809913635254
1,0.75,17.108510732650757
0,0.748,4.07000470161438
1,0.748,10.627300024032593
2,0.748,26.029133319854736
0,0.729,4.818263292312622
1,0.729,27.39076590538025
2,0.729,4.057002782821655
3,0.729,5.534821271896362
4,0.729,26.77759575843811
0,0.711,5.546828746795654
0,0.756,6.258232593536377
1,0.756,24.57382082939148
2,0.756,28.997770071029663
0,0.732,7.014177322387695
1,0.732,9.841872930526733
0,0.709,7.745938539505005
0,0.695,8.455162525177002
1,0.695,3.2987911701202393
2,0.695,8.402405023574829
3,0.695,10.573679447174072
0,0.751,9.150285243988037
1,0.751,28.809250593185425
2,0.751,17.225054264068604
3,0.751,20.035025358200073
4,0.751,2.632559061050415
5,0.751,3.3836283683776855
0,0.726,9.900856494903564
0,0.71,11.375726699829102
0,0.773,12.08530068397522
0,0.693,12.858203649520874
0,0.738,13.551191806793213
1,0.738,6.1711485385894775
2,0.738,25.91821527481079
3,0.738,11.350157022476196
4,0.738,28.26008653640747
0,0.727,14.289313793182373
1,0.727,20.133418321609497
2,0.727,27.472495794296265
3,0.727,22.259182929992676
4,0.727,20.194841146469116
0,0.752,15.01641845703125
1,0.752,7.650439262390137
0,0.733,15.76866626739502
1,0.733,22.97884774208069
0,0.728,16.501376628875732
1,0.728,3.3288512229919434
2,0.728,6.170014142990112
3,0.728,10.713435888290405
0,0.718,17.22924304008484
1,0.718,22.343047618865967
2,0.718,14.92771029472351
3,0.718,15.64619779586792
4,0.718,19.317009687423706
0,0.743,17.94773268699646
1,0.743,6.98662257194519
2,0.743,10.607354640960693
3,0.743,12.889025926589966
0,0.731,18.690861225128174
1,0.731,11.441732406616211
0,0.712,19.421483516693115
1,0.712,22.305806159973145
2,0.712,1.849393367767334
3,0.712,18.023962259292603
0,0.724,20.86085033416748
1,0.724,26.002278089523315
2,0.724,12.740046262741089
0,0.721,21.584880590438843
0,0.76,23.018091678619385
1,0.76,13.464038133621216
0,0.73,23.778242111206055
1,0.73,28.91520047187805
2,0.73,1.7785184383392334
3,0.73,14.287847757339478
4,0.73,23.061203718185425
5,0.73,23.129700899124146
0,0.747,24.507821798324585
1,0.747,28.168205976486206
2,0.747,17.27657961845398
0,0.706,25.25517439842224
1,0.706,16.41895294189453
2,0.706,25.191943645477295
0,0.749,25.96086072921753
1,0.749,17.125040531158447
2,0.749,4.785771369934082
3,0.749,10.538248062133789
0,0.722,26.70963716506958
1,0.722,4.878854274749756
0,0.736,27.4320969581604
1,0.736,3.9941017627716064
2,0.736,25.26667881011963
3,0.736,28.915146589279175
4,0.736,6.898391485214233
5,0.736,9.977036952972412
0,0.791,2.5081515312194824
0,0.699,4.730226516723633
1,0.699,7.729592323303223
0,0.742,5.429589509963989
1,0.742,18.574905395507812
2,0.742,14.331701755523682
0,0.741,6.909518003463745
1,0.741,16.48437738418579
0,0.744,9.097857236862183
1,0.744,15.740272283554077
2,0.744,16.364070177078247
0,0.72,11.268974304199219
1,0.72,4.711238861083984
0,0.761,11.98900318145752
0,0.725,12.749964952468872
1,0.725,20.921379327774048
0,0.746,13.474884271621704
1,0.746,26.72660183906555
0,0.691,14.221118211746216
0,0.784,14.912203788757324
0,0.723,15.696354150772095
1,0.723,6.263769149780273
2,0.723,9.884559869766235
3,0.723,15.017457008361816
0,0.717,17.87412714958191
1,0.717,11.287618160247803
2,0.717,17.858086347579956
3,0.717,27.412860870361328
0,0.766,18.591188669204712
1,0.766,1.0306978225708008
0,0.67,19.356791496276855
0,0.759,20.02704429626465
1,0.759,3.9522833824157715
2,0.759,23.694300413131714
0,0.739,20.785643577575684
1,0.739,5.431442499160767
2,0.739,24.453391075134277
0,0.769,21.524702072143555
1,0.769,24.49780011177063
0,0.685,22.293391227722168
0,0.737,23.712210416793823
0,0.754,24.448784589767456
1,0.754,20.121324062347412
2,0.754,20.786360263824463
3,0.754,18.735865116119385
4,0.754,27.506260871887207
0,0.715,25.203262329101562
1,0.715,28.19990873336792
0,0.734,26.65661644935608
1,0.734,25.897550344467163
2,0.734,15.073481321334839
3,0.734,15.807281494140625
0,0.69,28.119715929031372
0,0.767,2.5617687702178955
0,0.758,8.428355932235718
0,0.698,9.18671202659607
0,0.713,12.088544607162476
1,0.713,28.84900951385498
0,0.771,12.80110502243042
1,0.771,8.487069606781006
0,0.716,13.572061538696289
1,0.716,7.6343348026275635
2,0.716,12.172679901123047
0,0.675,17.976059913635254
0,0.783,18.651169538497925
1,0.783,21.559971809387207
0,0.687,19.43450140953064
0,0.684,20.875759840011597
0,0.707,23.790706872940063
0,0.68,1.7965152263641357
0,0.774,2.4767985343933105
0,0.701,3.2511653900146484
0,0.745,8.350066184997559
1,0.745,1.8871960639953613
2,0.745,4.134159803390503
0,0.735,9.095266580581665
1,0.735,12.004701137542725
2,0.735,16.541279554367065
0,0.708,9.830288648605347
1,0.708,22.986584186553955
0,0.703,14.224374532699585
0,0.719,21.54025149345398
1,0.719,28.13020157814026
2,0.719,5.60102915763855
3,0.719,9.258284568786621
0,0.781,26.631743669509888
0,0.704,6.3204567432403564
0,0.762,7.024665594100952
0,0.7,7.786863327026367
1,0.7,13.632167100906372
2,0.7,25.329596519470215
0,0.705,19.48992109298706
0,0.768,21.646854877471924
0,0.714,22.415266513824463
1,0.714,23.860167980194092
0,0.2,
0,0.3,
0,0.4,
0,0.5,
0,0.6,
0,0.8,
0,0.9,
0,1.0,
0,1.1,
0,1.2,
